0	ideo	671407912573657088	671407912573657088
1	airbnb	671352201843994626	671352201843994626
2	twitter	671464022953369600	671464022953369600
3	dropbox	669901193884241920	669901193884241920
4	uber	671448339943149568	671448339943149568
5	venmo	671365331709911041	671365331709911041
6	washioapp	671467594013085696	671467594013085696
7	luxevalet	671478831270658049	671478831270658049
8	lyft	671025888302010373	671025888302010373
9	google	671436426752446464	671436426752446464
10	facebook	664490167609241603	664490167609241603
11	sprig	669671446923247616	669671446923247616
